host_response_time,host_acceptance_rate,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,log_price,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,days_since_last_review,neighbourhood_group,has_reviews
within_hour,1.0,1,50.10039,14.4313,Entire rental unit,Entire_home/apt,3,1.0,1.0,4.0,3,1000,1,29,42,76,5,4.72,4.73,4.58,0,2,0,0,0.53,7.3343293503005365,37,1,1,1,1,1,1,1,1,0,1,0,2,4451,71.0,North_West_Districts,1
within_hour,1.0,1,50.09884,14.42953,Entire rental unit,Entire_home/apt,5,1.5,2.0,6.0,3,1000,1,30,46,67,8,4.64,4.79,4.63,0,2,0,0,0.46,7.683403681053826,44,1,1,1,1,0,1,1,1,0,1,1,2,4451,73.0,North_West_Districts,1
Unknown,1.0,1,50.092285,14.4329,Entire rental unit,Entire_home/apt,2,1.0,1.0,1.0,3,30,1,0,0,37,2,4.76,4.89,4.81,0,2,0,0,0.35,7.042286171939743,18,1,1,1,1,0,1,1,1,0,0,0,2,5139,167.0,Old_Town_Center,1
within_hour,1.0,1,50.08844,14.42424,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,1,365,1,29,35,53,1,4.69,4.96,4.51,1,69,0,0,0.31,7.688913336864796,26,1,1,0,1,1,1,1,0,0,0,1,2,5933,152.0,Old_Town_Center,1
within_hour,1.0,1,50.08943,14.42373,Entire rental unit,Entire_home/apt,4,1.5,1.0,1.0,1,365,1,29,35,19,2,4.83,5.0,4.37,1,69,0,0,0.11,7.9996785794994505,31,1,1,1,1,1,1,1,0,0,0,1,2,5933,253.0,Old_Town_Center,1
within_hour,1.0,1,50.08943,14.42373,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,1,365,1,29,35,33,6,4.84,4.84,4.72,1,69,0,0,0.19,7.688913336864796,27,1,1,0,1,1,1,1,0,0,0,1,2,5933,92.0,Old_Town_Center,1
within_hour,1.0,1,50.08051,14.41487,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,1,365,1,30,31,20,0,4.65,4.8,4.7,1,69,0,0,0.13,7.731053144007127,26,1,1,0,1,1,1,1,0,0,0,1,2,5933,385.0,Old_Town_Center,1
within_hour,0.95,1,50.08409,14.41352,Entire rental unit,Entire_home/apt,4,1.0,1.0,4.0,3,365,1,14,192,262,42,4.53,4.91,4.57,0,14,0,0,1.56,7.827240901752812,36,1,1,1,1,1,1,1,1,0,0,0,3,5210,19.0,Old_Town_Center,1
within_day,0.49,1,50.07397,14.43056,Entire rental unit,Entire_home/apt,6,1.0,1.0,1.0,1,1125,1,30,364,71,2,4.75,4.63,4.8,0,22,10,0,0.48,7.639161171659173,22,1,1,1,1,0,1,1,0,0,1,0,2,4600,195.0,New_Town_Vinohrady,1
within_day,0.49,1,50.07397,14.43056,Entire rental unit,Entire_home/apt,6,1.0,1.0,4.0,1,1125,1,18,281,114,20,4.78,4.75,4.83,0,22,10,0,0.8,7.639161171659173,21,1,1,1,1,0,1,1,0,0,1,0,2,4600,104.0,New_Town_Vinohrady,1
within_day,0.49,1,50.07397,14.43056,Entire rental unit,Entire_home/apt,4,1.0,0.0,1.0,1,1125,1,20,338,210,5,4.8,4.73,4.85,0,22,10,0,1.44,8.312626025674962,23,1,1,1,1,0,1,1,1,0,1,0,2,4600,141.0,New_Town_Vinohrady,1
within_day,0.49,1,50.0706,14.43003,Entire rental unit,Entire_home/apt,2,1.0,0.0,1.0,1,1125,1,27,353,173,4,4.74,4.56,4.79,0,22,10,0,1.19,7.655864017616056,22,1,1,1,1,0,1,1,0,0,1,0,2,4600,32.0,New_Town_Vinohrady,1
Unknown,1.0,1,50.05958,14.42289,Entire rental unit,Entire_home/apt,2,1.0,1.0,2.0,2,300,1,0,105,206,32,4.61,4.7,4.62,0,1,0,0,1.55,6.97354301952014,26,1,1,1,1,1,1,0,1,0,1,1,2,3421,70.0,Outer_Districts,1
within_hour,0.95,1,50.08409,14.41352,Entire rental unit,Entire_home/apt,5,1.0,1.0,3.0,3,365,1,22,196,295,49,4.59,4.95,4.61,0,14,0,0,1.9,7.679713639966372,37,1,1,1,1,1,1,1,1,0,0,0,3,5210,25.0,Old_Town_Center,1
within_hour,0.95,1,50.08385,14.41463,Entire rental unit,Entire_home/apt,5,1.0,1.0,3.0,3,365,1,12,167,441,43,4.66,4.96,4.71,0,14,0,0,2.6,7.774435510302958,35,1,1,1,1,1,1,1,1,0,0,0,3,5210,21.0,Old_Town_Center,1
within_hour,1.0,1,50.07744,14.4141,Entire rental unit,Entire_home/apt,12,1.5,3.0,12.0,1,365,1,20,273,148,14,4.64,4.88,4.71,1,36,0,0,0.9,8.17526610411206,20,1,1,0,1,0,1,1,1,0,0,1,2,5149,82.0,Old_Town_Center,1
within_hour,0.99,1,50.08588,14.42145,Entire rental unit,Entire_home/apt,2,1.0,1.0,1.0,2,15,1,15,208,653,50,4.76,4.95,4.79,1,1,0,0,3.86,7.591357046698551,21,1,1,1,1,0,1,1,0,0,0,1,2,5081,65.0,Old_Town_Center,1
within_hour,1.0,1,50.08655,14.4512,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,2,365,1,7,47,346,42,4.58,4.43,4.59,1,101,0,0,2.07,7.02108396428914,29,1,1,1,1,1,1,1,1,0,1,1,2,5303,6.0,Near_Center_East,1
within_day,0.44,1,50.07368,14.4294,Entire rental unit,Entire_home/apt,3,1.0,0.0,1.0,1,1125,1,30,321,161,3,4.78,4.68,4.82,0,15,1,0,1.1,8.499232866039245,15,1,1,1,1,0,0,1,0,0,1,0,3,4595,73.0,New_Town_Vinohrady,1
within_hour,1.0,1,50.09015,14.41849,Entire condo,Entire_home/apt,3,1.0,1.0,3.0,1,31,1,9,223,206,27,4.74,4.97,4.73,1,2,0,0,1.42,7.421775793644647,33,1,1,1,1,0,1,1,1,0,0,0,2,4396,7.0,Old_Town_Center,1
within_hour,1.0,1,50.10003,14.41659,Entire rental unit,Entire_home/apt,4,1.0,2.0,2.0,3,1125,1,14,157,136,17,4.71,4.8,4.76,0,4,0,0,0.93,7.395721608602045,25,1,1,1,1,1,1,0,0,0,0,1,2,4591,128.0,North_West_Districts,1
within_day,0.49,1,50.07397,14.43056,Entire rental unit,Entire_home/apt,3,0.5,1.0,1.0,1,1125,1,30,355,142,0,4.82,4.7,4.85,0,22,10,0,0.98,7.5485559791698735,23,1,1,1,1,0,1,1,0,0,1,0,2,4600,456.0,New_Town_Vinohrady,1
Unknown,0.33,1,50.10851,14.5387,Private room in rental unit,Private_room,2,1.0,1.0,1.0,2,30,1,30,365,19,0,4.53,4.42,4.42,0,0,1,0,0.15,7.45876269238096,13,1,1,0,1,0,0,0,1,0,0,0,2,4388,645.0,Outer_Districts,1
within_hour,1.0,1,50.09143,14.4281,Private room in rental unit,Private_room,3,1.0,1.0,2.0,2,1125,1,20,298,620,44,4.47,4.92,4.58,1,4,8,0,4.26,6.380122536899765,14,1,1,0,1,1,1,0,0,0,0,0,2,4490,20.0,Old_Town_Center,1
within_hour,0.79,1,50.06521,14.35803,Entire condo,Entire_home/apt,2,1.0,1.0,1.0,2,365,1,29,364,24,9,4.63,4.38,4.33,0,1,1,0,0.17,7.844240718141811,49,1,1,1,1,1,1,1,1,0,0,1,2,4385,15.0,Near_Center_West_South,1
within_hour,0.99,1,50.07705,14.40825,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,1,90,1,20,181,453,41,4.58,4.76,4.58,1,74,0,0,3.14,7.461065514354283,26,1,1,1,1,1,1,1,0,0,0,0,3,4385,23.0,Near_Center_West_South,1
within_hour,1.0,1,50.09104,14.42533,Entire condo,Entire_home/apt,4,1.0,2.0,2.0,20,1125,1,5,281,175,4,4.8,4.88,4.7,1,1,0,0,1.06,7.768533300926033,51,1,1,1,1,1,1,1,1,0,0,1,1,5062,55.0,Old_Town_Center,1
within_hour,1.0,1,50.08655,14.4512,Entire rental unit,Entire_home/apt,3,1.0,1.0,2.0,2,365,1,25,72,269,29,4.48,4.36,4.54,1,101,0,0,1.62,7.017506142941256,22,1,1,1,1,1,1,1,1,0,1,1,2,5303,21.0,Near_Center_East,1
within_hour,1.0,1,50.08005,14.42756,Entire rental unit,Entire_home/apt,8,1.0,2.0,4.0,2,365,1,16,56,269,13,4.58,4.63,4.62,1,101,0,0,1.64,7.601901959875166,31,1,1,1,1,1,1,1,1,0,1,1,2,5303,2.0,Old_Town_Center,1
within_hour,1.0,1,50.06625,14.40245,Entire loft,Entire_home/apt,4,1.0,1.0,2.0,1,365,1,6,256,347,29,4.7,4.52,4.67,1,2,0,0,2.16,7.272398392570047,43,1,1,1,1,1,1,1,1,0,1,1,2,5069,111.0,Near_Center_West_South,1
within_hours,0.89,1,50.08529,14.44532,Entire rental unit,Entire_home/apt,7,1.0,2.0,6.0,7,100,1,0,30,413,30,4.91,4.78,4.89,0,2,0,0,2.47,6.880384082186005,31,1,1,1,1,1,1,1,1,0,0,1,2,5054,67.0,Near_Center_East,1
days_or_more,1.0,1,50.10546,14.4707,Entire rental unit,Entire_home/apt,4,1.0,2.0,2.0,10,30,1,28,88,0,0,4.83,4.87,4.78,0,1,0,0,0.0,8.470311205516108,14,1,1,0,1,1,1,1,1,0,0,0,3,4998,9999.0,Near_Center_East,0
within_hours,0.81,1,50.091067734318685,14.423598800541122,Entire rental unit,Entire_home/apt,4,1.5,1.0,1.0,3,400,1,15,299,435,56,4.72,4.89,4.7,0,2,0,0,2.63,7.4067107301776405,56,1,1,1,1,1,1,1,1,0,0,1,2,4992,7.0,Old_Town_Center,1
within_hour,1.0,1,50.08827218384488,14.42322947611544,Entire rental unit,Entire_home/apt,8,1.0,3.0,5.0,4,280,1,12,126,464,40,4.64,4.99,4.73,0,46,1,0,2.9,8.248529124800218,39,1,1,1,1,1,1,1,1,0,0,1,2,4989,7.0,Old_Town_Center,1
Unknown,0.0,1,50.06524,14.42953,Entire loft,Entire_home/apt,4,1.5,2.0,2.0,1,120,1,0,0,202,0,4.78,4.53,4.76,0,1,0,0,1.4,7.069023426578259,16,1,0,0,1,0,1,0,0,0,1,0,2,4384,1876.0,New_Town_Vinohrady,1
within_hour,0.94,1,50.10161028878581,14.429512329504329,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,3,90,1,19,118,39,13,4.79,4.85,4.69,0,1,0,0,0.27,7.3098814858247865,21,1,1,1,1,1,1,0,1,0,1,0,2,5172,84.0,North_West_Districts,1
within_hour,0.0,1,50.0824,14.42333,Entire condo,Entire_home/apt,3,1.5,3.0,3.0,21,365,1,28,228,106,0,4.67,4.87,4.66,0,1,0,0,0.77,7.4489161025442,31,1,1,1,1,1,1,1,1,0,0,1,2,4382,1287.0,Old_Town_Center,1
within_hour,1.0,1,50.08687,14.39608,Entire rental unit,Entire_home/apt,5,1.0,2.0,5.0,30,365,1,0,191,42,6,4.9,4.93,4.9,0,3,0,0,0.32,7.335633981927201,18,1,1,1,1,1,1,0,0,0,1,1,2,4376,207.0,Old_Town_Center,1
within_hour,1.0,1,50.08478,14.42096,Entire rental unit,Entire_home/apt,4,1.0,1.0,2.0,2,365,1,14,51,572,65,4.53,4.91,4.6,1,101,0,0,3.93,7.537430036586509,29,1,1,1,1,1,1,0,1,0,1,1,2,5303,7.0,Old_Town_Center,1
within_day,0.9,1,50.0638,14.43642,Entire rental unit,Entire_home/apt,8,1.0,2.0,4.0,2,120,1,28,172,110,6,4.79,4.6,4.72,0,1,0,0,0.76,8.294299608857235,51,1,1,1,1,1,1,0,1,0,0,0,2,4365,133.0,Outer_Districts,1
within_hour,1.0,1,50.10569,14.43433,Entire rental unit,Entire_home/apt,2,1.0,2.0,1.0,2,1125,1,6,146,841,80,4.59,4.65,4.74,1,1,0,0,5.82,6.90875477931522,28,1,1,1,1,1,1,1,1,0,1,0,2,4358,3.0,North_West_Districts,1
