host_response_time,host_identity_verified,latitude,longitude,property_type,room_type,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,log_price,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,neighbourhood_group,has_reviews,calculated_host_listings_count_shared_rooms_log,bathrooms_log,calculated_host_listings_count_private_rooms_log,host_acceptance_rate_log,beds_log,days_since_last_review_log,number_of_reviews_log,bedrooms_log,reviews_per_month_log,accommodates_log,calculated_host_listings_count_entire_homes_log,number_of_reviews_ltm_log
within_hour,1,50.08229,14.41552,Entire rental unit,Entire_home/apt,1,365,1,0,0,4.9,4.93,4.86,1,7.978996370854115,30,1,1,1,1,1,1,1,0,0,0,1,2,5933,Old_Town_Center,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,5.616771097666572,3.4657359027997265,0.6931471805599453,0.16551443847757338,1.6094379124341003,4.248495242049359,0.6931471805599453
within_hour,1,50.08729,14.43179,Entire rental unit,Entire_home/apt,3,700,1,3,173,4.94,4.93,4.9,0,7.367077059881012,58,1,1,1,1,1,1,1,1,0,0,1,2,5438,Old_Town_Center,1,0.0,0.9162907318741551,0.0,0.6830968447064438,1.0986122886681098,2.302585092994046,6.021023349349527,0.6931471805599453,1.4883995840570443,1.6094379124341003,1.3862943611198906,3.9889840465642745
within_hour,1,50.08704,14.44539,Private room in rental unit,Private_room,3,60,1,5,5,4.76,4.63,4.83,0,6.7580945044277305,29,1,0,0,1,0,1,1,1,0,0,0,2,4510,Near_Center_East,1,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191,1.0986122886681098,2.70805020110221,6.028278520230698,0.6931471805599453,1.332366019094335,1.0986122886681098,1.3862943611198906,3.970291913552122
within_hour,1,50.08525,14.44513,Private room in rental unit,Private_room,3,60,1,3,3,4.69,4.59,4.73,0,6.4457198193855785,31,1,0,0,1,0,1,1,1,0,0,0,2,4510,Near_Center_East,1,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191,1.3862943611198906,2.772588722239781,5.966146739123692,0.6931471805599453,1.3001916620664788,1.0986122886681098,1.3862943611198906,3.871201010907891
within_hour,1,50.0852,14.44644,Private room in rental unit,Private_room,3,60,1,6,6,4.78,4.68,4.81,0,6.650279048587422,29,1,0,0,1,0,1,1,1,0,0,0,2,4510,Near_Center_East,1,0.0,0.6931471805599453,1.3862943611198906,0.5877866649021191,0.6931471805599453,3.091042453358316,5.945420608606575,0.6931471805599453,1.275362800412609,1.0986122886681098,1.3862943611198906,3.970291913552122
within_hour,1,50.0815,14.42123,Entire condo,Entire_home/apt,1,1125,1,13,294,4.78,4.89,4.76,1,7.779048644925556,55,1,1,1,1,1,1,1,1,0,0,1,2,4913,Old_Town_Center,1,0.0,0.9162907318741551,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,6.642486801367256,0.6931471805599453,1.81319474994812,1.6094379124341003,2.995732273553991,3.912023005428146
within_hour,1,50.08787,14.42235,Entire rental unit,Entire_home/apt,2,999,1,8,277,4.9,5.0,4.6,1,7.478169694159785,48,1,0,1,1,0,1,1,1,0,1,1,3,4822,Old_Town_Center,1,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,4.406719247264253,2.3978952727983707,0.0,0.06765864847381481,1.0986122886681098,0.6931471805599453,0.6931471805599453
within_hour,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,2,1125,1,5,241,4.38,4.98,4.36,0,7.884952945759814,30,1,1,1,1,1,1,1,1,0,0,0,3,4175,Old_Town_Center,1,0.0,0.6931471805599453,0.0,0.6575200029167942,1.3862943611198906,5.43372200355424,4.04305126783455,1.0986122886681098,0.35065687161316933,1.9459101490553132,3.8066624897703196,1.3862943611198906
within_hour,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,2,1125,1,5,268,4.67,4.83,4.56,0,7.9665866976384025,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,Old_Town_Center,1,0.0,0.6931471805599453,0.0,0.6575200029167942,1.0986122886681098,4.605170185988092,2.9444389791664403,1.0986122886681098,0.13976194237515868,1.9459101490553132,3.8066624897703196,1.0986122886681098
within_hour,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,2,1125,1,4,243,4.63,4.93,4.63,0,8.159660737063376,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,Old_Town_Center,1,0.0,1.0986122886681098,0.0,0.6575200029167942,1.6094379124341003,4.1588830833596715,5.135798437050262,1.3862943611198906,0.7793248768009976,2.1972245773362196,3.8066624897703196,2.8903717578961645
within_hour,1,50.08588,14.42116,Entire rental unit,Entire_home/apt,2,1125,1,1,210,4.78,4.97,4.69,0,8.841881989497114,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,Old_Town_Center,1,0.0,1.3862943611198906,0.0,0.6575200029167942,1.9459101490553132,3.8918202981106265,4.356708826689592,1.791759469228055,0.43178241642553783,2.70805020110221,3.8066624897703196,2.995732273553991
within_day,1,50.08228,14.41345,Entire rental unit,Entire_home/apt,7,365,1,27,362,4.76,4.9,4.79,0,7.914617709040679,32,1,1,1,1,1,1,1,1,0,0,1,2,5343,Old_Town_Center,1,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,6.532334292222349,5.811140992976701,0.6931471805599453,1.0577902941478545,1.3862943611198906,0.6931471805599453,0.0
