host_acceptance_rate,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,num_amenities,amenity_wifi,amenity_kitchen,amenity_air_conditioning,amenity_heating,amenity_washer,amenity_dryer,amenity_tv,amenity_parking,amenity_pool,amenity_pets_allowed,amenity_long_term_stays_allowed,num_host_verifications,host_duration_days,days_since_last_review,has_reviews,calculated_host_listings_count_shared_rooms_log,bathrooms_log,calculated_host_listings_count_private_rooms_log,host_acceptance_rate_log,beds_log,days_since_last_review_log,number_of_reviews_log,bedrooms_log,reviews_per_month_log,accommodates_log,calculated_host_listings_count_entire_homes_log,number_of_reviews_ltm_log,host_response_time_Unknown,host_response_time_days_or_more,host_response_time_within_day,host_response_time_within_hour,host_response_time_within_hours,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,neighbourhood_group_Near_Center_East,neighbourhood_group_Near_Center_West_South,neighbourhood_group_New_Town_Vinohrady,neighbourhood_group_North_West_Districts,neighbourhood_group_Old_Town_Center,neighbourhood_group_Outer_Districts,property_type_freq,log_price
0.93,1,50.08588,14.42116,14,3.0,5.0,6.0,2,1125,1,210,77,19,4.78,4.97,4.69,0,44,0,0,0.54,30,1,1,1,1,1,1,1,1,1,0,1,3,4175,48.0,1,0.0,1.3862943611198906,0.0,0.6575200029167942,1.9459101490553132,3.8918202981106265,4.356708826689592,1.791759469228055,0.43178241642553783,2.70805020110221,3.8066624897703196,2.995732273553991,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,8.841881989497114
0.0,1,50.08228,14.41345,3,1.0,1.0,2.0,7,365,27,362,333,0,4.76,4.9,4.79,0,1,0,0,1.88,32,1,1,1,1,1,1,1,1,0,0,1,2,5343,686.0,1,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,6.532334292222349,5.811140992976701,0.6931471805599453,1.0577902941478545,1.3862943611198906,0.6931471805599453,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.914617709040679
1.0,1,50.0709,14.43157,7,1.0,1.0,4.0,1,365,24,71,276,49,4.62,4.59,4.69,1,101,0,0,1.58,30,1,1,1,1,1,1,1,1,0,1,1,2,5303,27.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,3.332204510175204,5.6240175061873385,0.6931471805599453,0.9477893989335261,2.0794415416798357,4.624972813284271,3.912023005428146,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.425953657077541
1.0,1,50.07834,14.43302,3,1.0,1.0,2.0,2,365,8,51,495,55,4.52,4.71,4.58,1,101,0,0,2.82,22,1,1,1,1,0,1,1,1,0,1,1,2,5303,7.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,2.0794415416798357,6.206575926724928,0.6931471805599453,1.3402504226184837,1.3862943611198906,4.624972813284271,4.02535169073515,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.186144304522325
1.0,1,50.07724,14.43383,4,1.0,1.0,2.0,2,365,15,58,415,57,4.6,4.76,4.67,1,101,0,0,2.37,24,1,1,1,1,1,1,1,1,0,1,1,2,5303,2.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,6.030685260261263,0.6931471805599453,1.2149127443642704,1.6094379124341003,4.624972813284271,4.060443010546419,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.269616749608169
1.0,1,50.08655,14.4512,3,1.0,1.0,2.0,2,365,21,66,274,35,4.41,4.44,4.46,1,101,0,0,1.61,22,1,1,1,1,1,1,1,1,0,1,1,2,5303,24.0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,3.2188758248682006,5.616771097666572,0.6931471805599453,0.9593502213346021,1.3862943611198906,4.624972813284271,3.58351893845611,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.609375,7.0587581525186645
1.0,1,50.09014,14.42619,3,1.0,1.0,2.0,2,365,3,201,838,66,4.33,4.86,4.46,1,4,8,0,5.64,20,1,1,0,1,1,1,0,0,0,0,0,2,4490,16.0,1,0.0,0.6931471805599453,2.1972245773362196,0.6931471805599453,1.0986122886681098,2.833213344056216,6.732210706467206,0.6931471805599453,1.8931119634883424,1.3862943611198906,1.6094379124341003,4.204692619390966,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.06843065693430657,6.51025834052315
0.96,1,50.08754,14.40874,6,1.5,2.0,4.0,1,1125,9,153,243,40,4.95,4.98,4.9,0,2,0,0,1.74,45,1,1,1,1,1,1,1,1,0,1,1,2,4526,5.0,1,0.0,0.9162907318741551,0.0,0.6729444732424258,1.6094379124341003,1.791759469228055,5.497168225293202,1.0986122886681098,1.007957920399979,1.9459101490553132,1.0986122886681098,3.713572066704308,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.08405565693430657,8.763115329619787
1.0,1,50.07692,14.41433,9,1.5,1.0,9.0,1,365,12,308,148,39,4.53,4.87,4.68,1,36,0,0,1.06,20,1,1,0,1,0,1,1,1,0,0,1,2,5149,18.0,1,0.0,0.9162907318741551,0.0,0.6931471805599453,2.302585092994046,2.9444389791664403,5.003946305945459,0.6931471805599453,0.7227059828014898,2.302585092994046,3.6109179126442243,3.6888794541139363,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.609375,7.607381425639791
0.97,1,50.08431,14.423,6,1.5,2.0,5.0,3,60,1,24,193,15,4.9,4.96,4.89,1,1,0,0,1.3,38,1,1,1,1,1,1,1,1,0,0,1,2,4475,21.0,1,0.0,0.9162907318741551,0.0,0.6780335427498971,1.791759469228055,3.091042453358316,5.267858159063328,1.0986122886681098,0.832909122935104,1.9459101490553132,0.6931471805599453,2.772588722239781,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.609375,7.848543482456679
