id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5787464,Rental unit in Prague · ★4.84 · 1 bedroom · 5 beds · 1 bath,30028586,Asres,,Praha 5,50.08027,14.40625,Entire home/apt,5981,1,53,2017-04-23,0.53,1,175,0,
5830974,Rental unit in Prague · ★4.42 · 1 bedroom · 2 beds · 1 bath,18151373,Bianka,,Praha 2,50.07237,14.43092,Entire home/apt,3376,2,38,2019-10-28,0.38,18,355,0,
5846687,Rental unit in Prague · ★4.31 · 2 bedrooms · 5 beds · 1 bath,30354601,Andrea,,Praha 1,50.07761,14.42854,Entire home/apt,1261,1,350,2023-05-25,3.50,2,249,11,
5860909,Rental unit in Prague · ★4.72 · 1 bedroom · 1 bed · 1 bath,30430917,Joanna & Wiesław,,Praha 4,50.05675,14.444,Entire home/apt,1029,1,170,2023-06-04,1.73,2,97,19,
5861192,Rental unit in Prague · ★4.59 · 1 bedroom · 1 bed · 1 bath,18162588,Jarda,,Praha 10,50.07071,14.4515,Entire home/apt,1750,2,17,2022-04-14,0.17,8,333,0,
5865619,Rental unit in Prague · ★4.84 · 3 bedrooms · 3 beds · 1 bath,400864,Jaroslav,,Praha 1,50.08133,14.41352,Entire home/apt,5008,1,255,2023-06-19,2.57,27,317,32,
5866580,Rental unit in Prague · ★4.53 · 4 bedrooms · 7 beds · 1.5 baths,227945,Alex And Kate,,Praha 2,50.0782,14.43155,Entire home/apt,3068,2,396,2023-06-08,3.98,93,19,61,
5882166,Rental unit in Prague · ★4.83 · 2 bedrooms · 3 beds · 1.5 baths,14366220,Valentina,,Praha 1,50.08432,14.42056,Entire home/apt,3697,3,170,2023-06-18,1.71,5,262,11,
5901548,Rental unit in Prague · ★4.97 · 2 bedrooms · 3 beds · 2 baths,30650912,Jan,,Praha 1,50.0867,14.40884,Entire home/apt,3383,4,93,2023-06-01,0.94,1,198,20,
5953405,Condo in Prague · ★4.55 · 2 bedrooms · 7 beds · 1.5 baths,30904205,Zeki,,Praha 5,50.07355,14.40518,Entire home/apt,3051,2,72,2023-01-03,0.73,5,310,16,
5966841,Rental unit in Prague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,6750861,Nadia,,Praha 1,50.09008,14.42511,Entire home/apt,1842,3,63,2023-05-24,0.66,2,285,16,
5974283,Rental unit in Prague · ★4.66 · 1 bedroom · 1 bed · 1 bath,27397276,Marsella And Radek,,Praha 8,50.09584,14.466,Entire home/apt,1286,2,140,2023-05-27,1.41,3,319,27,
5988109,Rental unit in Prague · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,31089691,Johannes,,Praha 8,50.09661,14.46629,Entire home/apt,1183,2,65,2023-01-15,0.66,2,295,9,
5988595,Rental unit in Prague · 2 bedrooms · 3 beds · 1 bath,31092180,Petr,,Praha 21,50.08004,14.64586,Entire home/apt,980,2,2,2023-04-30,0.78,1,145,2,
5989149,Condo in Prague · ★5.0 · 2 bedrooms · 4 beds · 2 baths,31095565,Chris,,Praha 5,50.06221,14.36553,Entire home/apt,1628,180,10,2022-03-30,0.10,1,0,0,
6022761,Rental unit in Prague · ★4.61 · 1 bedroom · 1 bed · 1 bath,31263447,Kristine,,Praha 1,50.08608,14.41609,Entire home/apt,3346,1,63,2022-05-18,0.63,14,270,0,
6038247,Rental unit in Prague · ★4.81 · 4 bedrooms · 8 beds · 2.5 baths,438733,Renata,,Praha 1,50.07763,14.41449,Entire home/apt,8871,5,62,2023-06-20,0.63,12,24,5,
6047143,Rental unit in Prague · ★4.88 · 1 bedroom · 1 bed · 1 bath,31381552,Silvie,,Praha 7,50.10283,14.44955,Entire home/apt,1500,2,167,2023-06-23,1.69,1,252,23,
6071308,Rental unit in Prague · ★4.78 · 1 bedroom · 1 bed · 1 bath,24851986,Magdalena & Tomas,,Praha 1,50.085876,14.404982,Entire home/apt,2095,2,350,2023-06-04,3.54,7,268,55,
6081231,Loft in Prague · ★4.61 · Studio · 1 bed · 1.5 baths,31565118,Michaela,,Praha 3,50.08595,14.46343,Entire home/apt,3429,2,470,2023-06-14,4.79,1,296,45,
6084046,Rental unit in Prague · ★4.84 · 2 bedrooms · 2 beds · 1 bath,3528009,Efi,,Praha 3,50.08238,14.4474,Entire home/apt,1586,2,168,2023-06-07,1.70,1,277,26,
6088768,Rental unit in Prague · ★4.88 · Studio · 2 beds · 1 bath,16606129,Anna,,Praha 8,50.09322,14.44507,Entire home/apt,1250,1,587,2023-06-05,5.92,5,217,74,
6147702,Rental unit in Prague · ★4.81 · 1 bedroom · 1 bed · 1 bath,1037514,Mark,,Praha 2,50.07406,14.42391,Entire home/apt,1536,2,217,2023-06-09,2.19,5,36,38,
6167954,Home in Prague · ★4.89 · 1 bedroom · 2 beds · 1 shared bath,31999647,Petr,,Suchdol,50.13496,14.37076,Private room,650,2,37,2019-09-24,0.37,4,0,0,
6173491,Rental unit in Prague · ★4.77 · Studio · 2 beds · 1.5 baths,1112333,Igor,,Praha 2,50.07397,14.43056,Entire home/apt,7577,1,113,2023-02-23,1.16,12,326,34,
6181597,"Rental unit in Praha 7, Holešovice · ★4.96 · 2 bedrooms · 3 beds · 1.5 baths",31981836,Naděžda,,Praha 7,50.10492,14.45328,Entire home/apt,1009,5,147,2023-06-19,1.49,1,219,23,
6192159,Home in Praha 6 · ★4.84 · 1 bedroom · 2 beds · 1 shared bath,31999647,Petr,,Suchdol,50.13667,14.36933,Private room,650,2,55,2019-09-23,0.55,4,0,0,
6195429,Rental unit in Prague · ★4.54 · 2 bedrooms · 6 beds · 2 baths,32128404,AtTheTower,,Praha 1,50.08597018081164,14.42847713892481,Entire home/apt,4200,14,158,2023-06-04,1.62,4,152,15,
6199212,Home in Prague · 1 bedroom · 2 beds · 1 bath,31999647,Petr,,Suchdol,50.13478,14.36931,Private room,500,2,0,,,4,0,0,
6211611,Rental unit in Prague · ★4.85 · 1 bedroom · 1 bed · 1 bath,32177578,Lenka,,Praha 1,50.08691,14.40687,Entire home/apt,1758,1,391,2023-06-12,3.94,3,286,65,
6212153,Rental unit in Prague · ★4.88 · 1 bedroom · 1 bed · 1 bath,146052,Karen,,Praha 1,50.08253,14.40768,Entire home/apt,2224,3,157,2023-06-21,1.59,4,257,33,
6218739,Rental unit in Prague · ★4.86 · 1 bedroom · 2 beds · 1 bath,400864,Jaroslav,,Praha 1,50.08851,14.40879,Entire home/apt,2335,1,312,2023-06-11,3.15,27,342,50,
6218745,Rental unit in Prague · ★4.87 · 1 bedroom · 1 bed · 1 bath,32177578,Lenka,,Praha 1,50.08854,14.40924,Entire home/apt,2143,1,333,2023-06-16,3.37,3,336,58,
6219087,Rental unit in Prague · ★4.81 · 1 bedroom · 2 beds · 1 bath,32177578,Lenka,,Praha 1,50.08663,14.40762,Entire home/apt,2106,1,321,2023-06-19,3.24,3,346,52,
6230782,Rental unit in Praha · ★4.65 · 3 bedrooms · 8 beds · 2 baths,18151373,Bianka,,Praha 2,50.07435,14.43056,Entire home/apt,7367,2,111,2020-07-12,1.12,18,348,0,
6242033,Rental unit in Prague · 1 bedroom · 1 bed · 1 bath,8367152,Nataly,,Praha 10,50.06909,14.45927,Entire home/apt,1757,5,0,,,1,25,0,
6257547,Condo in Prague · ★4.86 · 3 bedrooms · 11 beds · 2.5 baths,32509071,Jirka,,Praha 2,50.06765,14.43397,Entire home/apt,6529,2,369,2023-06-15,3.73,1,158,41,
6257954,Rental unit in Prague · ★4.94 · 1 bedroom · 4 beds · 1 bath,32511558,Lucie,,Praha 6,50.09914,14.39649,Entire home/apt,982,3,246,2020-03-13,2.49,1,48,0,
6266730,Rental unit in Prague · ★4.92 · 1 bedroom · 2 beds · 1 bath,10564098,Jan,,Praha 10,50.07185,14.45359,Entire home/apt,2578,1,65,2023-05-26,1.28,5,362,14,
6279366,Condo in Praha 6-Dejvice · ★4.73 · 1 bedroom · 2 beds · 1 bath,30822045,Pavlina,,Praha 6,50.11794,14.38819,Entire home/apt,2350,27,15,2021-11-24,0.15,1,356,0,
6280628,Rental unit in Prague · ★4.88 · 2 bedrooms · 3 beds · 1 bath,21478050,Pavel,,Praha 3,50.08133,14.44806,Entire home/apt,2352,2,82,2023-06-19,0.84,1,123,25,
6297788,Rental unit in Prague · ★4.45 · 2 bedrooms · 5 beds · 1 bath,30354601,Andrea,,Praha 1,50.07879,14.41638,Entire home/apt,2027,1,317,2023-04-23,3.22,2,264,3,
6299372,Condo in Prague · ★4.77 · 2 bedrooms · 10 beds · 1.5 baths,30904205,Zeki,,Praha 5,50.07336,14.40571,Entire home/apt,3051,2,44,2022-11-13,0.45,5,331,11,
6299540,Rental unit in Prague · ★4.72 · 2 bedrooms · 9 beds · 1.5 baths,30904205,Zeki,,Praha 5,50.07561,14.40555,Entire home/apt,3051,2,137,2023-05-29,1.39,5,290,32,
6311596,Rental unit in Prague · ★4.71 · 1 bedroom · 2 beds · 1.5 baths,32766175,_iFlat Team,,Praha 1,50.08605,14.41758,Entire home/apt,2219,1,514,2023-06-18,5.24,9,112,66,
6334324,Rental unit in Prague · ★4.90 · 5 bedrooms · 13 beds · 5 baths,32729832,Jan,,Praha 1,50.08076,14.4279,Entire home/apt,6150,2,511,2023-06-22,5.19,1,56,66,
6353826,Rental unit in Praha 5 · ★4.84 · 1 bedroom · 4 beds · 1 bath,32081273,Jan,,Praha 5,50.06993,14.3881,Entire home/apt,1650,2,73,2018-10-07,0.74,1,0,0,
6369659,Condo in Prague · ★4.63 · 2 bedrooms · 5 beds · 1.5 baths,30904205,Zeki,,Praha 5,50.07506,14.40502,Entire home/apt,3051,2,27,2022-12-13,0.28,5,205,6,
6382321,Loft in Prague · ★5.0 · 1 bedroom · 4 beds · 1 bath,33267558,Ondrej,,Praha 10,50.06699,14.45848,Entire home/apt,1892,30,18,2017-08-13,0.18,1,323,0,
6387186,Rental unit in Prague · ★4.91 · 1 bedroom · 3 beds · 1 bath,33291730,Veronika,,Praha 1,50.08772,14.4074,Entire home/apt,1450,2,202,2020-09-12,2.11,1,2,0,
6387568,Hostel in Prague 2 · ★4.44 · 1 bedroom · 8 beds · 10 shared baths,13829355,Team Easy Housing,,Praha 4,50.06421,14.43156,Shared room,460,1,36,2023-06-16,0.42,16,353,11,
6403267,Rental unit in Praha · ★4.41 · 2 bedrooms · 8 beds · 1 bath,33392985,Dagmar,,Praha 1,50.08377,14.40363,Entire home/apt,3119,1,44,2022-09-30,0.45,5,326,2,
6423163,Rental unit in Prague · ★4.85 · 2 bedrooms · 3 beds · 1 bath,33333689,Šárka,,Praha 1,50.08307,14.42724,Entire home/apt,3800,1,615,2023-06-19,6.26,1,169,72,
6459423,Rental unit in Prague · ★4.79 · 2 bedrooms · 2 beds · 1 bath,33599224,R.Aşkın,,Praha 1,50.0835,14.42089,Entire home/apt,3193,2,431,2023-06-23,4.37,11,96,100,
6497083,Rental unit in Prague · ★4.78 · Studio · 1 bed · 1 bath,3419169,Km,,Praha 2,50.07998,14.43569,Entire home/apt,1663,2,156,2023-06-06,6.46,4,55,60,
6501721,Rental unit in Prague · ★4.88 · 1 bedroom · 2 beds · 1 bath,8055219,Petr,,Praha 1,50.08626,14.40601,Entire home/apt,1557,3,82,2023-06-02,0.85,2,185,27,
6517577,Houseboat in Praha · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,29555421,Hana,,Praha 7,50.10651,14.45553,Entire home/apt,7286,1,106,2023-05-29,1.10,1,210,12,
6534286,Rental unit in Prague · ★4.68 · 3 bedrooms · 5 beds · 2.5 baths,13882610,Vaida,,Praha 3,50.08143,14.45646,Entire home/apt,3051,3,25,2022-08-30,0.26,1,22,6,
6550817,Bed and breakfast in Prague · ★4.17 · 1 bedroom · 2 beds · 1 bath,34253626,Petr,,Praha 2,50.07565,14.42316,Entire home/apt,3334,1,31,2022-12-28,0.32,5,272,1,
6559540,Rental unit in Prague · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,9548779,Leah,,Praha 10,50.0738,14.45513,Private room,2568,1,21,2023-05-28,0.26,1,365,4,
6565670,Rental unit in Prague · 2 bedrooms · 2 beds · 1 bath,1329045,Fabio,,Praha 2,50.06997,14.41526,Entire home/apt,1632,15,2,2016-01-14,0.02,1,0,0,
6613181,Rental unit in Prague · ★4.41 · 4 bedrooms · 8 beds · 1 bath,15683232,Vaclav,,Praha 1,50.0805,14.41698,Entire home/apt,3998,3,28,2023-01-29,0.29,47,4,8,
6632674,Rental unit in Prague · ★4.62 · 2 bedrooms · 2 beds · 1.5 baths,31263447,Kristine,,Praha 1,50.08596,14.4165,Entire home/apt,4680,1,65,2022-12-18,0.66,14,236,7,
6633377,Loft in Prague · ★4.73 · 1 bedroom · 1 bed · 1 bath,31263447,Kristine,,Praha 1,50.08479,14.41904,Entire home/apt,3346,1,179,2023-04-22,1.86,14,298,4,
6665639,Rental unit in Prague · ★4.51 · 3 bedrooms · 4 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07725,14.42226,Entire home/apt,2926,2,371,2023-06-09,3.79,93,33,72,
6669839,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1.5 shared baths,34909821,Kristýna,,Praha 2,50.07387,14.43081,Private room,700,30,166,2023-05-07,1.76,2,210,4,
6704008,Condo in Prague 7 · ★4.89 · 2 bedrooms · 4 beds · 1 bath,31095206,Marie,,Praha 7,50.10105,14.43433,Entire home/apt,3212,3,76,2023-04-10,0.78,1,172,10,
6715595,Rental unit in Prague · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,16541955,Tom,,Praha 1,50.0864,14.41553,Entire home/apt,2245,2,150,2021-08-08,1.53,2,0,0,
6734254,Townhouse in Prague · ★4.79 · 1 bedroom · 2 beds · 2.5 shared baths,7732733,Vaclav Levi,,Praha 10,50.07261,14.45626,Private room,818,2,253,2023-06-22,2.61,4,299,37,
6734471,Rental unit in Prague · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,27956551,Sandra,,Praha 1,50.08805,14.42043,Entire home/apt,3563,2,234,2023-06-18,2.43,1,343,34,
6754157,Rental unit in Prague · ★4.93 · 4 bedrooms · 1 bed · 1 bath,22001528,Ksenija,,Praha 7,50.10398,14.45074,Entire home/apt,1710,3,247,2023-06-04,2.54,1,311,11,
6764855,Rental unit in Prague 1 · ★4.82 · 2 bedrooms · 6 beds · 1 bath,3289004,Robin,,Praha 1,50.09216,14.42325,Entire home/apt,4707,5,163,2023-06-06,1.70,1,296,36,
6768867,Rental unit in Praha · ★4.57 · 1 bedroom · 3 beds · 1 bath,35373012,Tomáš,,Praha 1,50.087,14.41876,Entire home/apt,1700,2,234,2023-06-08,2.40,7,359,31,
6770497,Loft in Prague · ★4.81 · 1 bedroom · 5 beds · 1.5 baths,35373012,Tomáš,,Praha 1,50.08701,14.41882,Entire home/apt,2357,2,291,2023-06-08,3.02,7,298,53,
6773847,Rental unit in Prague · ★4.99 · 1 bedroom · 3 beds · 1.5 baths,35463673,Pavel,,Praha 9,50.10611,14.49028,Entire home/apt,1899,2,129,2023-06-19,1.84,1,236,44,
6773886,Rental unit in Prague · ★4.79 · 1 bedroom · 3 beds · 1 bath,35373012,Tomáš,,Praha 1,50.08701,14.41879,Entire home/apt,2000,2,210,2023-06-08,2.16,7,324,33,
6790042,Rental unit in Prague · ★4.85 · Studio · 1 bed · 1 bath,29151529,Oksana,,Praha 5,50.07354,14.38623,Entire home/apt,900,1,370,2020-07-05,3.81,2,83,0,
6812359,Rental unit in Prague · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,35663869,Jarin,,Praha 1,50.07718,14.4136,Private room,796,28,182,2023-06-08,1.87,4,203,10,
6812865,Rental unit in Prague · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,35663869,Jarin,,Praha 1,50.07857,14.4153,Private room,600,28,254,2023-05-31,2.60,4,160,4,
6815432,Rental unit in Prague · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,35663869,Jarin,,Praha 1,50.07898,14.41348,Private room,550,28,196,2023-06-11,2.02,4,239,15,
6815443,Guest suite in Prague · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,35663869,Jarin,,Praha 1,50.07762,14.41378,Private room,551,21,177,2023-06-10,1.82,4,151,6,
6827803,Home in Prague · ★5.0 · 1 bedroom · 2 beds · 2 shared baths,34768030,Laszlo,,Praha 5,50.03992,14.38435,Private room,3548,2,6,2022-05-17,0.07,1,363,0,
6831715,Rental unit in Prague · ★4.75 · 1 bedroom · 2 beds · 1 bath,25505424,Stela,,Praha 2,50.06467,14.42535,Entire home/apt,3500,2,8,2023-06-17,0.54,1,334,6,
6841809,Serviced apartment in Prague · ★4.76 · 1 bedroom · 3 beds · 1.5 baths,3736234,Matěj,,Praha 3,50.07986,14.44835,Entire home/apt,2129,2,170,2023-06-19,1.80,62,37,15,
6847754,Rental unit in Prague · ★4.93 · 1 bedroom · 2 beds · 1 bath,11972741,Lida,,Praha 10,50.06981,14.45145,Entire home/apt,1159,2,230,2020-03-09,2.36,1,54,0,
6857590,Rental unit in Prague · ★4.76 · Studio · 1 bed · 1 bath,1112333,Igor,,Praha 2,50.0706,14.43003,Entire home/apt,9708,1,63,2022-08-26,0.65,12,364,1,
6879736,Rental unit in Prague · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,9190181,Viki,,Praha 2,50.07251,14.43759,Entire home/apt,1926,3,144,2023-06-07,1.48,1,89,20,
6889209,Rental unit in Praha · ★4.91 · 2 bedrooms · 4 beds · 2 baths,32736081,Vadim,,Praha 1,50.08275,14.40559,Entire home/apt,13517,7,35,2018-09-03,0.42,1,83,0,
6927932,Rental unit in Prague · ★4.33 · Studio · 2 beds · 1 bath,30105684,Aleš,,Praha 12,49.99936,14.4184,Entire home/apt,568,365,6,2016-06-02,0.06,1,363,0,
6970071,Condo in Prague · ★4.55 · 2 bedrooms · 5 beds · 1.5 baths,30904205,Zeki,,Praha 5,50.07421,14.40718,Entire home/apt,3085,2,40,2022-12-04,0.42,5,178,11,
6973285,Rental unit in Prague · ★4.96 · 1 bedroom · 1 bed · 1 bath,9267374,Martin,,Praha 1,50.08016,14.42133,Entire home/apt,2534,3,332,2023-06-11,3.46,3,215,36,
7002186,Rental unit in Prague · ★4.85 · Studio · 1 bed · 1 bath,31263447,Kristine,,Praha 1,50.08596,14.4165,Entire home/apt,3346,1,40,2023-04-29,0.41,14,288,8,
7019067,Rental unit in Prague · ★4.62 · 1 bedroom · 1 bed · 1 bath,2740680,Vadim,,Praha 1,50.08350372314453,14.420893669128418,Entire home/apt,1750,1,633,2023-06-19,6.54,2,252,94,
7021250,Rental unit in Prague · ★4.59 · 2 bedrooms · 2 beds · 1 bath,18151373,Bianka,,Praha 2,50.07231,14.43111,Entire home/apt,3376,2,41,2018-09-25,0.43,18,348,0,
7021325,Rental unit in Prague · ★4.13 · 2 bedrooms · 2 beds · 1 bath,18151373,Bianka,,Praha 2,50.07219,14.43049,Entire home/apt,3376,2,31,2019-02-18,0.32,18,355,0,
7042192,Home in Praha · ★4.62 · 1 bedroom · 2 beds · 1.5 shared baths,36870937,Alena,,Praha 5,50.0665,14.37397,Private room,844,1,143,2023-06-19,1.48,1,236,50,
7061831,Guest suite in Prague · ★4.88 · 1 bedroom · 1 bed · 1 bath,37029757,Alena & Matt,,Praha 11,50.0338,14.52459,Entire home/apt,1390,2,157,2023-06-18,1.72,1,343,27,
